,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,9.44,9.59,8.22,9.5,7.805778,138380800
1,2016-02-01,9.47,10.14,8.88,9.8,8.150147,121665000
2,2016-03-01,9.83,11.8,9.76,11.8,9.813444,131651700
3,2016-04-01,11.68,11.69,10.79,11.16,9.281187,97116800
4,2016-05-01,11.15,11.49,10.49,11.09,9.312992,84235900
5,2016-06-01,11.04,12.48,10.79,12.48,10.480264,129821800
6,2016-07-01,12.48,12.72,12.0,12.35,10.371097,76263100
7,2016-08-01,12.33,12.59,11.89,12.07,10.226905,97091000
8,2016-09-01,12.07,13.32,11.85,12.85,10.887799000000001,109270500
9,2016-10-01,12.64,12.75,11.45,11.77,9.972714,124511300
10,2016-11-01,11.77,12.48,11.08,11.45,9.792712,128091400
11,2016-12-01,11.36,12.47,10.98,11.62,9.938107,99097400
12,2017-01-01,11.67,12.06,11.15,11.44,9.78416,124725400
13,2017-02-01,11.4,11.93,11.1,11.52,9.957397,99948000
14,2017-03-01,11.38,11.68,10.93,11.18,9.663513,123736700
15,2017-04-01,11.17,11.62,11.01,11.31,9.775881,125706700
16,2017-05-01,11.31,11.85,10.95,11.68,10.202621,114172800
17,2017-06-01,11.68,12.05,11.11,11.11,9.704717,105493900
18,2017-07-01,11.15,11.45,10.6,11.18,9.765863000000001,104717400
19,2017-08-01,11.06,11.66,10.92,11.04,9.643573,117828300
20,2017-09-01,11.08,11.45,11.0,11.02,9.730544,84544500
21,2017-10-01,11.06,11.34,10.49,10.63,9.386178999999998,83059900
22,2017-11-01,10.59,10.97,10.0,10.58,9.447587,145832900
23,2017-12-01,10.62,11.02,10.43,10.83,9.670829,133246400
24,2018-01-01,10.87,11.95,10.64,11.56,10.322696,237380100
25,2018-02-01,11.59,11.67,9.87,10.87,9.816464,177806900
26,2018-03-01,10.92,11.43,10.49,11.37,10.268006,156649300
27,2018-04-01,11.38,12.45,11.19,12.24,11.053685,140353800
28,2018-05-01,12.25,12.86,11.66,12.75,11.637149,143556100
29,2018-06-01,12.71,13.56,12.47,13.41,12.239543,150725600
30,2018-07-01,13.05,13.58,12.55,13.36,12.193906,141218100
31,2018-08-01,13.36,14.11,13.23,13.46,12.285177000000001,141952900
32,2018-09-01,13.43,14.01,13.0,14.0,12.902569,134714200
33,2018-10-01,13.99,15.39,13.88,14.58,13.437104000000001,160230300
34,2018-11-01,14.61,16.280001000000002,14.47,15.49,14.402103,129127400
35,2018-12-01,15.59,16.02,13.55,14.46,13.444445000000002,149343200
36,2019-01-01,14.27,16.42,13.97,16.389999,15.238895000000001,114648400
37,2019-02-01,16.4,17.6,16.370001000000002,17.23,16.155775,98939400
38,2019-03-01,17.290001,18.52,16.879998999999998,18.08,16.952778,133502500
39,2019-04-01,18.129998999999998,18.309998999999998,16.889999,17.120001000000002,16.052629,114547700
40,2019-05-01,17.110001,17.25,15.71,15.8,14.933739000000001,161512200
41,2019-06-01,15.87,17.200001,15.76,16.76,15.841104999999999,104630600
42,2019-07-01,16.82,17.799999,16.66,16.790001,15.869458999999999,101051800
43,2019-08-01,16.77,17.370001000000002,14.6,15.33,14.606186,115626800
44,2019-09-01,15.22,16.530001000000002,14.85,16.34,15.568501000000001,92723000
45,2019-10-01,16.219998999999998,17.23,15.43,17.049999,16.244974,101048200
46,2019-11-01,17.09,19.030001000000002,17.09,18.91,18.161732,130660600
47,2019-12-01,18.9,20.120001000000002,18.639999,19.9,19.112555,112128300
48,2020-01-01,19.969998999999998,20.709999,19.74,19.860001,19.074142000000002,76663600
49,2020-02-01,19.969998999999998,21.23,15.75,16.73,16.181873,79978100
50,2020-03-01,16.77,18.43,8.11,13.6,13.154422,176321600
51,2020-04-01,13.0,14.99,12.01,13.25,12.815887,123785800
52,2020-05-01,13.0,13.3,11.0,12.49,12.202643,132251600
53,2020-06-01,12.47,15.08,12.0,14.49,14.156630999999999,174400600
54,2020-07-01,14.6,15.9,13.77,15.23,14.879604999999998,113332600
55,2020-08-01,15.22,18.18,14.95,17.75,17.503954,106464500
56,2020-09-01,17.65,19.120001000000002,17.129998999999998,18.110001,17.858964999999998,107980900
57,2020-10-01,18.24,20.76,17.459999,19.5,19.229696,113058800
58,2020-11-01,19.790001,22.32,19.67,20.440001000000002,20.305574,117886500
59,2020-12-01,20.66,23.620001000000002,20.27,23.5,23.345449,119467700
60,2021-01-01,23.709999,28.68,22.82,24.389999,24.229595,141513400
