,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,12.56,13.0,7.08,9.73,9.064921,496498100
1,2016-02-01,9.38,10.28,6.52,8.21,7.6488179999999995,641078600
2,2016-03-01,8.21,11.88,7.56,11.14,10.45257,1066584000
3,2016-04-01,10.75,15.15,10.32,14.09,13.220531,539947000
4,2016-05-01,14.02,14.08,11.28,13.07,12.263473,415109300
5,2016-06-01,12.88,15.45,12.22,15.01,14.141244,445044400
6,2016-07-01,14.88,15.84,13.06,13.64,12.850538,345116900
7,2016-08-01,13.42,16.85,12.47,15.02,14.150664,408599300
8,2016-09-01,14.96,16.9,13.8,15.81,14.945707999999998,385437100
9,2016-10-01,15.89,16.4,13.14,13.18,12.459485,287510200
10,2016-11-01,13.37,18.549999,12.36,18.059998999999998,17.072706,448053300
11,2016-12-01,19.120001000000002,19.280001000000002,17.209999,17.309998999999998,16.41884,294460200
12,2017-01-01,17.74,18.27,16.280001000000002,16.75,15.887670000000002,179155700
13,2017-02-01,17.030001000000002,17.360001,15.59,16.0,15.176282999999998,249669900
14,2017-03-01,16.16,16.65,14.3,15.8,15.033006,338908500
15,2017-04-01,15.81,16.9,14.63,14.87,14.148154000000002,251571500
16,2017-05-01,14.87,15.12,12.75,13.02,12.387959,302966100
17,2017-06-01,13.05,13.41,11.2,11.85,11.314233,343529300
18,2017-07-01,11.97,12.66,11.22,12.23,11.677050999999999,298449500
19,2017-08-01,12.23,13.11,10.55,11.12,10.617237,330650800
20,2017-09-01,11.14,13.95,11.03,13.56,13.000551,267749300
21,2017-10-01,13.2,14.34,13.08,14.22,13.633323,227041800
22,2017-11-01,14.37,16.59,14.35,14.84,14.227742999999998,307992900
23,2017-12-01,15.0,17.35,14.38,16.93,16.283875,233931000
24,2018-01-01,17.110001,19.52,17.040001,18.190001000000002,17.495787,231613400
25,2018-02-01,18.25,18.52,14.51,14.52,13.965851999999998,300320900
26,2018-03-01,14.55,16.42,14.27,16.129998999999998,15.564129999999999,251184500
27,2018-04-01,16.01,18.66,15.22,18.25,17.609756,285825300
28,2018-05-01,18.139999,22.120001000000002,17.98,21.43,20.678196,289702700
29,2018-06-01,21.41,21.84,19.709999,20.860001,20.175293,269554200
30,2018-07-01,20.65,22.74,19.41,21.120001000000002,20.426756,227704300
31,2018-08-01,20.82,22.030001000000002,18.98,21.51,20.803957,233182900
32,2018-09-01,21.68,23.67,19.83,23.280001000000002,22.572062,186500000
33,2018-10-01,23.43,24.200001,17.77,18.99,18.412519,295078400
34,2018-11-01,19.030001000000002,19.309998999999998,15.49,16.690001000000002,16.182461,298650500
35,2018-12-01,17.620001000000002,17.84,12.57,14.34,13.944651,296992600
36,2019-01-01,13.9,16.42,13.86,15.79,15.354674,232338100
37,2019-02-01,15.88,17.33,14.83,16.6,16.142344,266854900
38,2019-03-01,16.68,17.790001,16.030001000000002,16.709999,16.297017999999998,238689900
39,2019-04-01,16.9,18.93,16.790001,17.040001,16.618864000000002,225899000
40,2019-05-01,17.07,17.15,13.06,13.15,12.825003,266694000
41,2019-06-01,13.28,14.57,12.8,14.21,13.905062,224155000
42,2019-07-01,14.58,14.7,13.15,14.07,13.768066000000001,194272800
43,2019-08-01,13.82,13.92,11.39,11.84,11.585921,270785900
44,2019-09-01,11.5,14.39,11.39,12.27,12.053486,267017900
45,2019-10-01,12.37,12.5,11.06,11.53,11.326543,242755000
46,2019-11-01,11.65,12.97,11.39,11.65,11.444425,259020600
47,2019-12-01,11.79,13.89,11.58,13.58,13.397234,211820000
48,2020-01-01,13.69,14.07,11.36,11.37,11.216977,267692400
49,2020-02-01,11.34,12.3,7.54,8.28,8.168564,376245300
50,2020-03-01,8.45,8.47,3.15,3.29,3.261046,1023053200
51,2020-04-01,3.22,6.34,3.02,6.12,6.06614,1163440700
52,2020-05-01,5.89,6.25,5.2,5.34,5.293005,822924300
53,2020-06-01,5.34,8.48,5.25,6.12,6.06614,812796500
54,2020-07-01,6.17,6.27,4.97,5.49,5.441685,550160400
55,2020-08-01,5.49,6.36,5.22,5.28,5.233533,488069800
56,2020-09-01,5.26,5.34,4.02,4.09,4.054005999999999,569335400
57,2020-10-01,4.05,4.56,3.73,3.96,3.9251489999999998,600815000
58,2020-11-01,3.98,6.63,3.86,5.92,5.8679,689988500
59,2020-12-01,6.15,7.46,5.76,6.67,6.647692,607874000
60,2021-01-01,6.78,8.83,6.6,7.24,7.2157860000000005,611678300
