,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,9.44,9.59,8.99,9.0,7.394944000000001,21198300.0
1,2016-01-08,9.01,9.22,8.51,8.85,7.271698,40763900.0
2,2016-01-15,8.63,9.27,8.22,9.11,7.485328,37844800.0
3,2016-01-22,9.28,9.39,8.74,9.16,7.526412,27117600.0
4,2016-01-29,9.12,10.11,9.11,9.8,8.052275999999999,42852800.0
5,2016-02-05,9.54,9.97,8.97,9.0,7.484828,32577900.0
6,2016-02-12,9.01,9.76,8.88,9.7,8.066981,21558400.0
7,2016-02-19,9.64,10.14,9.32,9.97,8.291528,27227400.0
8,2016-02-26,10.01,10.46,9.76,10.45,8.690719,23061300.0
9,2016-03-04,10.43,10.99,10.27,10.81,8.990110000000001,32461400.0
10,2016-03-11,10.94,11.57,10.81,11.53,9.588896,31009000.0
11,2016-03-18,11.53,11.7,11.16,11.57,9.622164999999999,34178300.0
12,2016-03-25,11.61,11.8,11.35,11.8,9.813444,19846400.0
13,2016-04-01,11.68,11.69,10.79,10.86,9.031692999999999,36790100.0
14,2016-04-08,10.91,11.34,10.91,11.24,9.347719999999999,20164100.0
15,2016-04-15,11.23,11.54,11.06,11.11,9.239604,17011400.0
16,2016-04-22,11.15,11.48,10.99,11.12,9.247924000000001,18459300.0
17,2016-04-29,11.12,11.37,10.92,11.07,9.296198,20517200.0
18,2016-05-06,11.03,11.49,10.8,11.27,9.464152,19170800.0
19,2016-05-13,11.23,11.26,10.49,10.74,9.019074,22281500.0
20,2016-05-20,10.76,11.07,10.73,10.89,9.145041,17788400.0
21,2016-05-27,10.9,11.23,10.79,10.84,9.103052,19216900.0
22,2016-06-03,10.93,11.55,10.86,11.44,9.606910000000001,22987100.0
23,2016-06-10,11.31,11.39,10.91,11.26,9.455753,21294500.0
24,2016-06-17,11.29,12.14,11.27,12.1,10.161157000000001,30932000.0
25,2016-06-24,11.85,12.48,11.29,12.48,10.480264,44561200.0
26,2016-07-01,12.48,12.53,12.0,12.1,10.161157000000001,19375500.0
