,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,3.43,3.73,2.93,3.0,3.0,3658900.0
1,2016-01-08,3.1,3.17,2.25,2.35,2.35,4487100.0
2,2016-01-15,2.25,2.55,1.97,2.46,2.46,4005600.0
3,2016-01-22,2.55,2.6,2.21,2.31,2.31,2168100.0
4,2016-01-29,2.33,2.49,2.12,2.31,2.31,1815800.0
5,2016-02-05,2.32,2.37,1.76,1.83,1.83,3021800.0
6,2016-02-12,1.88,2.29,1.83,2.1,2.1,1877500.0
7,2016-02-19,2.08,2.41,1.8,1.96,1.96,3420500.0
8,2016-02-26,1.92,3.36,1.9,3.33,3.33,4963100.0
9,2016-03-04,3.3,3.43,2.87,2.94,2.94,3146500.0
10,2016-03-11,2.91,3.0,2.4,2.7,2.7,2292900.0
11,2016-03-18,2.77,2.82,2.13,2.21,2.21,2200900.0
12,2016-03-25,2.2,2.42,2.01,2.33,2.33,1907600.0
13,2016-04-01,2.35,2.69,2.32,2.45,2.45,2055900.0
14,2016-04-08,2.51,2.8,2.23,2.71,2.71,1702300.0
15,2016-04-15,2.68,2.74,2.41,2.49,2.49,1280900.0
16,2016-04-22,2.48,2.78,2.46,2.58,2.58,1199900.0
17,2016-04-29,2.61,2.67,2.05,2.08,2.08,2779400.0
18,2016-05-06,2.1,2.17,1.78,1.8,1.8,2954700.0
19,2016-05-13,1.79,1.91,1.73,1.84,1.84,1495300.0
20,2016-05-20,1.86,2.08,1.84,2.01,2.01,1248000.0
21,2016-05-27,2.0,2.18,1.98,2.09,2.09,898800.0
22,2016-06-03,2.06,2.38,1.99,2.1,2.1,1481400.0
23,2016-06-10,2.09,2.14,1.9,2.01,2.01,1411000.0
24,2016-06-17,2.03,2.3,2.02,2.28,2.28,1385500.0
25,2016-06-24,2.08,2.29,1.89,1.99,1.99,4446200.0
26,2016-07-01,1.95,2.0,1.85,1.89,1.89,1011700.0
27,2016-07-08,1.89,2.14,1.89,1.9,1.9,2177000.0
28,2016-07-15,1.87,1.91,1.78,1.85,1.85,1803500.0
29,2016-07-22,1.85,1.9,1.76,1.8,1.8,1079200.0
30,2016-07-29,1.8,1.95,1.75,1.8,1.8,1146800.0
31,2016-08-05,1.81,2.0,1.78,1.78,1.78,1724200.0
32,2016-08-12,1.77,1.9,1.75,1.89,1.89,1138600.0
33,2016-08-19,1.88,1.99,1.83,1.84,1.84,960500.0
34,2016-08-26,1.84,1.87,1.79,1.82,1.82,766900.0
35,2016-09-02,1.83,1.86,1.78,1.8,1.8,692500.0
36,2016-09-09,1.81,1.86,1.66,1.67,1.67,1107400.0
37,2016-09-16,1.66,1.72,1.28,1.67,1.67,2573400.0
38,2016-09-23,1.17,1.26,1.16,1.2,1.2,14140700.0
39,2016-09-30,1.2,1.22,1.17,1.21,1.21,3235900.0
40,2016-10-07,1.22,1.22,1.02,1.1,1.1,4590900.0
41,2016-10-14,1.12,1.2,1.09,1.15,1.15,3581200.0
42,2016-10-21,1.17,1.22,1.02,1.09,1.09,3743900.0
43,2016-10-28,1.09,1.24,0.98,1.2,1.2,5932600.0
44,2016-11-04,1.19,1.23,1.03,1.12,1.12,3265400.0
45,2016-11-11,1.09,1.2,1.05,1.13,1.13,2267100.0
46,2016-11-18,1.1,1.15,1.07,1.14,1.14,1302200.0
47,2016-11-25,1.14,1.14,1.09,1.11,1.11,1070000.0
48,2016-12-02,1.11,1.5,1.09,1.34,1.34,8745900.0
49,2016-12-09,1.36,1.36,1.15,1.18,1.18,1966700.0
50,2016-12-16,1.16,1.33,1.16,1.23,1.23,1757400.0
51,2016-12-23,1.17,1.22,0.95,0.97,0.97,5585800.0
52,2016-12-30,0.97,1.19,0.97,1.12,1.12,2258200.0
53,2017-01-06,1.12,1.45,1.08,1.36,1.36,5690000.0
54,2017-01-13,1.36,1.99,1.33,1.78,1.78,11112500.0
55,2017-01-20,1.76,1.9,1.59,1.64,1.64,4038600.0
56,2017-01-27,1.6,1.68,1.45,1.47,1.47,3534300.0
57,2017-02-03,1.44,1.65,1.38,1.56,1.56,3979900.0
58,2017-02-10,1.58,1.63,1.47,1.61,1.61,4917000.0
59,2017-02-17,1.65,1.73,1.59,1.69,1.69,4283900.0
60,2017-02-24,1.69,2.03,1.49,1.53,1.53,9549700.0
61,2017-03-03,1.55,1.56,1.14,1.14,1.14,5315000.0
62,2017-03-10,1.14,1.4,1.14,1.37,1.37,3964000.0
63,2017-03-17,1.38,1.4,1.2,1.24,1.24,3412100.0
64,2017-03-24,1.23,1.37,1.21,1.35,1.35,2024400.0
65,2017-03-31,1.36,1.4,1.27,1.35,1.35,1600600.0
66,2017-04-07,1.35,1.41,1.3,1.31,1.31,1629700.0
67,2017-04-14,1.3,1.37,1.16,1.18,1.18,2562700.0
68,2017-04-21,1.19,1.3,1.17,1.24,1.24,1554000.0
69,2017-04-28,1.22,1.25,1.1,1.12,1.12,2891200.0
70,2017-05-05,1.14,1.19,0.92,0.92,0.92,10792600.0
71,2017-05-12,0.9,0.93,0.65,0.7,0.7,8715100.0
72,2017-05-19,0.71,0.87,0.7,0.73,0.73,5416300.0
73,2017-05-26,0.72,0.79,0.7,0.78,0.78,2647200.0
74,2017-06-02,0.78,0.85,0.75,0.79,0.79,2911600.0
75,2017-06-09,0.79,0.83,0.76,0.79,0.79,2480600.0
76,2017-06-16,0.8,0.92,0.77,0.87,0.87,5455000.0
77,2017-06-23,0.87,0.89,0.76,0.85,0.85,2774600.0
78,2017-06-30,0.85,0.87,0.8,0.82,0.82,1091900.0
79,2017-07-07,0.85,0.85,0.78,0.81,0.81,2527300.0
80,2017-07-14,0.82,0.85,0.79,0.84,0.84,4474400.0
81,2017-07-21,0.85,1.07,0.83,0.95,0.95,6207700.0
82,2017-07-28,0.96,0.99,0.91,0.94,0.94,2283500.0
