,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,6.6,6.76,5.43,5.61,5.437043,192829200.0
1,2016-01-08,5.67,5.71,3.65,4.2,4.070513,445889300.0
2,2016-01-15,3.8,4.58,3.52,4.33,4.196505,282642100.0
3,2016-01-22,4.59,5.08,3.8,4.42,4.28373,415624900.0
4,2016-01-29,4.44,6.03,4.26,5.72,5.5436510000000006,282664700.0
5,2016-02-05,5.57,5.98,4.65,4.89,4.739240000000001,253455500.0
6,2016-02-12,5.12,7.6,5.08,7.15,6.929564,285370500.0
7,2016-02-19,6.98,7.97,6.55,7.12,6.900489,265996700.0
8,2016-02-26,7.7,9.2,7.26,9.11,8.829137,303443500.0
9,2016-03-04,9.32,10.5,8.47,9.6,9.304029,331936800.0
10,2016-03-11,9.85,11.07,9.03,10.9,10.56395,219593600.0
11,2016-03-18,11.04,11.45,9.1,10.11,9.798306,242951800.0
12,2016-03-25,10.25,10.59,9.41,10.34,10.021215,159328200.0
13,2016-04-01,9.92,10.09,8.76,8.85,8.577152,211006800.0
14,2016-04-08,9.17,11.23,9.02,10.73,10.399192,222485900.0
15,2016-04-15,10.47,12.7,10.22,11.52,11.164836,261619100.0
16,2016-04-22,11.76,13.36,10.56,12.66,12.269689,266573200.0
17,2016-04-29,13.11,14.06,11.08,11.29,10.941927,278040700.0
18,2016-05-06,11.14,12.12,10.37,11.03,10.689942,223682800.0
19,2016-05-13,10.96,11.9,10.22,10.98,10.641484,251447500.0
20,2016-05-20,11.13,12.04,10.72,11.34,10.990385,199782900.0
21,2016-05-27,11.35,11.5,10.27,10.66,10.331351,136465700.0
22,2016-06-03,11.0,11.92,10.78,10.9,10.56395,196872700.0
23,2016-06-10,10.53,11.3,9.82,10.78,10.44765,199422700.0
24,2016-06-17,11.03,11.93,10.98,11.77,11.407128,178876600.0
25,2016-06-24,11.02,11.18,9.99,11.14,10.796552,188917600.0
26,2016-07-01,11.04,11.5,10.27,10.67,10.341042999999999,133970100.0
27,2016-07-08,10.93,13.22,10.81,12.95,12.550748,204430800.0
28,2016-07-15,13.03,13.25,11.69,12.87,12.473217,147086200.0
29,2016-07-22,12.78,13.59,11.25,12.94,12.541056,200761700.0
