,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,13.87,14.0,12.6,12.7,9.671035,208018200.0
1,2016-01-08,13.05,13.1,11.82,12.19,9.28267,303565500.0
2,2016-01-15,11.81,12.28,11.47,12.01,9.1456,218893400.0
3,2016-01-22,12.26,12.36,11.2,11.71,8.917150999999999,305010200.0
4,2016-01-29,11.83,12.14,11.02,11.53,9.076203999999999,254765500.0
5,2016-02-05,11.52,11.7,11.1,11.17,8.792821,211515100.0
6,2016-02-12,11.25,12.44,11.18,12.26,9.650846000000001,135708200.0
7,2016-02-19,12.19,12.65,11.6,12.39,9.753181,182798900.0
8,2016-02-26,12.52,13.61,12.39,13.54,10.658441,215874500.0
9,2016-03-04,13.56,13.86,12.92,13.15,10.351439,165943300.0
10,2016-03-11,13.26,13.68,13.05,13.47,10.603337,154479200.0
11,2016-03-18,13.54,13.76,12.78,13.06,10.280594,146974300.0
12,2016-03-25,13.13,13.52,12.97,13.5,10.626953,103027500.0
13,2016-04-01,13.28,13.33,12.39,12.52,9.855514,193030800.0
14,2016-04-08,12.62,13.18,12.51,13.09,10.304208000000001,122961900.0
15,2016-04-15,13.1,13.88,12.85,13.65,10.74503,152257400.0
16,2016-04-22,13.63,14.22,13.47,14.09,11.091391,198295500.0
17,2016-04-29,13.93,14.03,13.14,13.32,10.600907000000001,225977600.0
18,2016-05-06,13.26,13.54,13.17,13.35,10.624782000000002,113483800.0
19,2016-05-13,13.34,13.52,13.02,13.09,10.417858,130537400.0
20,2016-05-20,13.15,13.68,13.11,13.46,10.712328999999999,99979100.0
21,2016-05-27,13.48,13.56,12.97,13.21,10.513361,143193500.0
22,2016-06-03,13.14,13.49,12.9,13.26,10.553153,131054900.0
23,2016-06-10,13.17,13.25,12.76,13.12,10.44173,131085400.0
24,2016-06-17,13.16,13.55,13.15,13.4,10.664576,148999700.0
25,2016-06-24,12.79,12.91,12.0,12.57,10.004008,267181200.0
26,2016-07-01,12.88,12.89,12.21,12.75,10.147264,143875300.0
