,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,15.08,15.41,14.53,14.55,11.827991,33423100.0
1,2016-01-08,14.56,15.0,13.17,13.78,11.202042,56194400.0
2,2016-01-15,13.36,13.89,12.17,13.5,10.974422,49197700.0
3,2016-01-22,13.75,14.31,13.11,13.19,10.722417,60743400.0
4,2016-01-29,13.39,14.29,12.98,14.2,11.543467,56449600.0
5,2016-02-05,14.12,14.54,13.41,13.88,11.283334,54508700.0
6,2016-02-12,14.07,16.0,13.98,15.32,12.453939,53731000.0
7,2016-02-19,15.17,15.59,14.64,15.51,12.608394,39221500.0
8,2016-02-26,15.54,16.23,15.24,16.110001,13.096145,46960500.0
9,2016-03-04,16.18,16.85,15.73,16.049999,13.047369,47394300.0
10,2016-03-11,16.290001,17.17,16.120001000000002,16.75,13.616416000000001,56623700.0
11,2016-03-18,16.809998999999998,17.26,15.77,16.18,13.153053,58302000.0
12,2016-03-25,16.219998999999998,16.77,15.95,16.700001,13.575768,27435300.0
13,2016-04-01,16.469998999999998,16.469998999999998,15.15,15.29,12.58357,57135800.0
14,2016-04-08,15.38,16.290001,15.25,16.09,13.241968,38837300.0
15,2016-04-15,16.1,16.379998999999998,15.45,15.59,12.830472,46596300.0
16,2016-04-22,15.66,16.15,15.0,15.82,13.01976,67877700.0
17,2016-04-29,15.37,16.379998999999998,15.14,16.18,13.316037,44457000.0
18,2016-05-06,16.139999,16.719998999999998,15.69,15.89,13.077369000000001,39332700.0
19,2016-05-13,15.87,15.94,14.3,14.66,12.065085,61263500.0
20,2016-05-20,14.72,15.51,14.43,15.2,12.509502000000001,46210700.0
21,2016-05-27,15.21,16.01,15.15,15.77,12.978608,33024600.0
22,2016-06-03,15.72,16.48,15.37,15.59,12.830472,39973200.0
23,2016-06-10,15.43,16.27,15.31,16.040001,13.200818,40299100.0
24,2016-06-17,15.95,17.120001000000002,15.95,16.950001,13.949742,56303500.0
25,2016-06-24,16.42,16.469998999999998,14.77,16.209999,13.340725,73003000.0
26,2016-07-01,16.280001000000002,16.969998999999998,15.79,16.41,13.690454,28358300.0
27,2016-07-08,16.639999,17.299999,16.219998999999998,16.709999,13.940737,52136200.0
28,2016-07-15,16.77,17.690001000000002,16.48,17.51,14.608160999999999,51085500.0
29,2016-07-22,17.530001000000002,18.17,16.91,17.280001000000002,14.416274,70982000.0
30,2016-07-29,17.25,17.99,17.17,17.379998999999998,14.499701000000002,50313600.0
31,2016-08-05,17.5,18.35,17.41,17.99,15.008610999999998,45950000.0
32,2016-08-12,17.85,18.25,17.58,18.1,15.100384,31832800.0
33,2016-08-19,18.01,18.559998999999998,17.950001,18.139999,15.133749,29315200.0
34,2016-08-26,18.27,18.32,17.299999,17.57,14.658213,40702600.0
35,2016-09-02,17.639999,17.82,16.76,16.809998999999998,14.024166000000001,47790500.0
36,2016-09-09,16.68,16.690001000000002,15.84,16.1,13.431829,60084800.0
37,2016-09-16,16.040001,16.4,15.7,16.309998999999998,13.607026000000001,52553500.0
38,2016-09-23,16.280001000000002,16.4,15.43,15.65,13.056405999999999,46313600.0
39,2016-09-30,15.78,15.87,15.24,15.55,13.13994,52106000.0
40,2016-10-07,15.55,15.83,15.27,15.51,13.10614,34859800.0
41,2016-10-14,15.6,15.86,15.21,15.51,13.10614,38330800.0
42,2016-10-21,15.38,15.83,14.78,14.89,12.582233,41839900.0
43,2016-10-28,14.96,15.62,14.8,14.83,12.531531,60206400.0
44,2016-11-04,14.82,16.4,14.69,16.07,13.579347,66181900.0
45,2016-11-11,16.030001000000002,17.41,15.99,16.690001000000002,14.103254000000002,63790600.0
46,2016-11-18,16.66,16.969998999999998,16.4,16.889999,14.272257999999999,31665400.0
47,2016-11-25,16.889999,18.23,16.5,18.139999,15.328522,64570000.0
48,2016-12-02,18.17,19.15,17.67,19.01,16.063682999999997,69548000.0
49,2016-12-09,19.08,19.280001000000002,18.639999,18.92,15.987634,53356000.0
50,2016-12-16,19.030001000000002,19.51,18.66,18.799999,15.88623,48528800.0
51,2016-12-23,18.82,19.1,18.440001000000002,18.75,15.843981,16375800.0
52,2016-12-30,18.74,19.48,18.35,18.5,15.841607999999999,50502400.0
53,2017-01-06,18.5,18.57,17.639999,18.02,15.430582999999999,59135300.0
54,2017-01-13,18.110001,18.4,17.969998999999998,18.219998999999998,15.601847,32909900.0
55,2017-01-20,18.24,18.780001000000002,18.120001000000002,18.610001,15.935801999999999,49571500.0
56,2017-01-27,18.65,18.709999,17.74,17.91,15.33639,53371100.0
57,2017-02-03,18.040001,18.48,17.809998999999998,18.35,15.713167000000002,44745600.0
58,2017-02-10,18.360001,18.92,18.24,18.58,15.910114000000002,38388900.0
59,2017-02-17,18.57,20.209999,17.83,18.030001000000002,15.43915,46187300.0
60,2017-02-24,17.98,18.68,17.65,18.610001,15.935801999999999,51610900.0
61,2017-03-03,18.6,18.65,17.709999,17.84,15.27645,35281700.0
62,2017-03-10,17.84,18.469998999999998,17.73,18.24,15.618970999999998,33590600.0
63,2017-03-17,18.309998999999998,18.549999,17.68,18.02,15.430582999999999,32547500.0
64,2017-03-24,18.129998999999998,18.540001,17.809998999999998,18.540001,15.875862,29488500.0
65,2017-03-31,18.52,18.780001000000002,18.08,18.52,16.035238,34624800.0
66,2017-04-07,18.440001000000002,18.59,18.24,18.450001,15.974626,29799200.0
67,2017-04-14,18.5,19.17,18.4,19.049999,16.494129,36747700.0
68,2017-04-21,19.030001000000002,19.440001000000002,18.780001000000002,19.24,16.658638,36024700.0
69,2017-04-28,19.41,19.459999,17.74,18.0,15.585002,63582100.0
70,2017-05-05,18.1,18.360001,17.52,17.68,15.307938,38240400.0
71,2017-05-12,17.620001000000002,18.16,17.34,18.030001000000002,15.610979,40053600.0
72,2017-05-19,18.07,18.379998999999998,17.940001000000002,18.09,15.66293,30067100.0
73,2017-05-26,18.040001,18.190001000000002,17.67,17.879998999999998,15.481104,26224800.0
74,2017-06-02,17.98,18.32,17.639999,18.139999,15.706221,36865800.0
75,2017-06-09,18.17,18.91,18.15,18.59,16.095848,35263500.0
76,2017-06-16,18.629998999999998,19.16,18.469998999999998,18.67,16.165115,33661400.0
77,2017-06-23,18.709999,19.129998999999998,18.4,18.48,16.000601,24828500.0
78,2017-06-30,18.6,18.879998999999998,18.200001,18.299999,16.015036,19982300.0
79,2017-07-07,18.360001,18.5,17.780001000000002,18.110001,15.84876,25194900.0
80,2017-07-14,18.139999,18.809998999999998,18.040001,18.049999,15.796251999999999,34449400.0
81,2017-07-21,18.01,18.76,17.639999,18.68,16.347589000000003,41389100.0
82,2017-07-28,18.68,18.940001000000002,18.360001,18.389999,16.093798,42222900.0
83,2017-08-04,18.450001,18.790001,17.790001,17.83,15.603720999999998,23579900.0
84,2017-08-11,17.780001000000002,18.4,17.690001000000002,17.92,15.682482,27778600.0
85,2017-08-18,17.870001000000002,17.959999,17.26,17.6,15.402439999999999,34953400.0
86,2017-08-25,17.620001000000002,18.16,17.34,18.120001000000002,15.857510999999999,25154000.0
87,2017-09-01,18.15,18.209999,17.549999,17.940001000000002,15.699987,20596000.0
88,2017-09-08,17.91,18.51,17.860001,18.27,15.988782,29996600.0
89,2017-09-15,18.26,18.549999,18.049999,18.290001,16.006285000000002,24905200.0
