,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,13.83,15.08,13.63,13.66,13.66,105293300.0
1,2016-01-08,13.78,13.95,11.53,12.02,12.02,169024800.0
2,2016-01-15,11.35,11.66,9.31,10.85,10.85,192805400.0
3,2016-01-22,11.18,11.57,9.71,9.89,9.89,145549500.0
4,2016-01-29,9.99,11.55,9.94,11.23,11.23,130625400.0
5,2016-02-05,11.15,11.38,9.45,9.69,9.69,129457300.0
6,2016-02-12,9.88,11.75,9.48,11.49,11.49,107371900.0
7,2016-02-19,11.39,11.44,10.06,10.72,10.72,95301300.0
8,2016-02-26,10.79,11.85,10.52,11.79,11.79,87298300.0
9,2016-03-04,11.8,12.29,10.53,10.88,10.88,125549500.0
10,2016-03-11,10.99,11.4,10.55,10.87,10.87,86397600.0
11,2016-03-18,10.84,11.6,10.33,10.5,10.5,128620600.0
12,2016-03-25,10.5,10.95,10.01,10.47,10.47,137091300.0
13,2016-04-01,10.28,11.22,10.24,10.51,10.51,109577000.0
14,2016-04-08,10.64,10.92,10.05,10.4,10.4,106774600.0
15,2016-04-15,10.73,11.1,10.46,10.65,10.65,107601800.0
16,2016-04-22,10.66,12.41,10.48,11.62,11.62,153853100.0
17,2016-04-29,11.63,11.69,9.8,10.06,10.06,159128000.0
18,2016-05-06,9.98,10.33,9.35,9.63,9.63,119923200.0
19,2016-05-13,9.66,10.28,9.41,10.07,10.07,105646800.0
20,2016-05-20,10.31,12.03,10.28,11.95,11.95,137815900.0
21,2016-05-27,11.97,13.21,11.83,13.11,13.11,147146700.0
22,2016-06-03,13.02,13.15,12.24,12.51,12.51,122348200.0
23,2016-06-10,12.32,12.37,11.58,11.95,11.95,98836200.0
24,2016-06-17,11.97,14.16,11.95,14.05,14.05,165317600.0
25,2016-06-24,13.5,13.85,12.1,13.76,13.76,243390600.0
26,2016-07-01,12.58,12.9,11.5,12.2,12.2,175350900.0
27,2016-07-08,12.39,13.55,12.38,13.29,13.29,127745900.0
28,2016-07-15,13.31,13.62,13.04,13.18,13.18,118197300.0
29,2016-07-22,13.21,14.89,13.02,13.81,13.81,169612700.0
30,2016-07-29,13.91,14.2,13.02,14.03,14.03,102581100.0
31,2016-08-05,14.22,14.78,14.03,14.43,14.43,87290100.0
32,2016-08-12,14.46,15.8,14.43,15.77,15.77,115030600.0
33,2016-08-19,16.16,16.549999,15.38,16.200001,16.200001,142471300.0
34,2016-08-26,16.34,17.25,16.139999,16.639999,16.639999,120015600.0
35,2016-09-02,16.959999,17.860001,16.57,17.450001,17.450001,101333700.0
36,2016-09-09,17.33,17.74,16.370001000000002,17.450001,17.450001,126869600.0
37,2016-09-16,18.08,18.08,16.719998999999998,17.59,17.59,135886000.0
38,2016-09-23,17.450001,18.16,17.15,17.540001,17.540001,140721600.0
39,2016-09-30,17.75,18.33,17.280001000000002,17.73,17.73,192068300.0
