,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-09-28,35.0,35.0,30.5,35.0,35.0,499800
1,2020-10-05,34.459998999999996,39.0,28.1,28.280001000000002,28.280001000000002,21418800
2,2020-10-12,28.27,29.0,26.364,28.26,28.26,37691400
3,2020-10-19,28.299999,30.49,27.76,30.290001,30.290001,24803300
4,2020-10-26,30.26,30.309998999999998,27.629998999999998,28.74,28.74,17405200
5,2020-11-02,28.91,30.5,28.1,28.940001000000002,28.940001000000002,10755600
6,2020-11-09,30.190001000000002,31.07,28.1,28.57,28.57,12916000
7,2020-11-16,28.75,32.23,28.5,31.18,31.18,13305000
8,2020-11-23,31.16,34.34,30.799999,34.09,34.09,7394500
9,2020-11-30,34.200001,34.369999,32.189999,33.07,33.07,9270200
10,2020-12-07,33.310001,33.419998,30.129998999999998,31.18,31.18,10253200
11,2020-12-14,31.58,34.43,31.17,33.91,33.91,10972100
12,2020-12-21,33.52,34.549999,32.915001000000004,33.970001,33.970001,5841400
13,2020-12-28,34.02,34.700001,32.32,33.400002,33.400002,3959400
